Название вакансии,URL,Название кампании,Описание
Специалист по анализу данных / Data Scientist (Middle / Senior),https://hh.ru/vacancy/32791339?query=python,ООО АлгоМост,"Ключевая компетенция «Алгомост» – создание индустриальных платформенных решений с кастомизацией под бизнес-задачи клиента. Мы осуществляем разработку и интеграцию программных модулей... Знание языка Python и различных библиотек для машинного обучения (Scikit-learn, Pandas, Lightgbm, XGBoost, Keras, Vowpal Wabbit). Желателен опыт успешных..."
Financial Data Scientist,https://hh.ru/vacancy/29958042?query=python, WorldQuant,"Rare opportunity to learn from experienced financial data scientists. Competitive financial rewards, based on performance and position. Job Responsibilities (including... Friendly and collegial working environment. Solid programming skills (C++ and/or Python). Degree from a top university in a highly..."
Financial Data Scientist,https://hh.ru/vacancy/29958061?query=python, WorldQuant,"Rare opportunity to learn from experienced financial data scientists. Competitive financial rewards, based on performance and position. Job Responsibilities (including... Friendly and collegial working environment. Solid programming skills (C++ and/or Python). Degree from a top university in a highly..."
Методист-эксперт Python,https://hh.ru/vacancy/32719953?query=python, Алгоритмика,...оценки результатов учебной деятельности обучающихся отделения. Внесение предложений по совершенствованию образовательного процесса. Требования: Экспертиза в Python (преподавание + обучение преподавателей). 
Middle Back End Developer,https://hh.ru/vacancy/31795207?query=python, Genesis,"Process automation for retention & remarketing microservices. Breaking a monolith into microservices. Development of new and support of existing website features.  Knowledge of additional programming languages (Go, C#, Java, Python). Experience of SQL query optimization. Knowledge of Kubernetes. Good understanding of..."
Data Scientist,https://hh.ru/vacancy/32680963?query=python, BestDoctor,"Модель скоринга. Прогнозирование финансовых риски. Находить паттерны аномального поведения клиентов. Анализировать расходы, посещения пациентов, а также аномальное поведение клиник.  Наш стек на Python, поэтому нужно хорошо уметь работать с Numpy, Pandas, Scikit-learn, Scipy, Lightgbm, XGBoost. Умения подбирать алгоритмы..."
Data Analyst,https://hh.ru/vacancy/32314585?query=python, BP Mobile,Участие в разработке BI-платформы. Разработка и улучшение модели расчета LTV пользователей. Анализ маркетинговых кампаний. Визуализация данных. Знание и опыт работы с SQL и ETL. Знание Python на высоком уровне (R - как плюс). Понимание статистического моделирования и...
Программист С/C++,https://hh.ru/vacancy/32611438?query=python,ООО НПП Геотехмаш,"Наша компания занимается созданием высокоточных бесконтактных систем сплошного измерения прогиба нежестких основания под нагрузкой при непрерывном движении нагружающего транспортного средства.  Опыт уверенной разработки ПО на С/C++ под Linux. Знание Matlab, Python. Умение самостоятельно отлаживать алгоритмы на модельных и реальных. "
Data Scientist (программист-аналитик),https://hh.ru/vacancy/32705219?query=python, inDriver,"Расчёты и трансформация данных. Выдвижение гипотез. Выявление закономерностей в данных. Формирование отчетов. Программирование прототипов. Опыт работы с базами данных и уверенное владение SQL. Знание Python. Умение анализировать большие объемы данных, видеть скрытые тенденции и..."
Senior Data Engineer,https://hh.ru/vacancy/32410628?query=python, Profitero,"R&D team to support company’s product works on the following directions: Products sales estimation of online retailers like... ...Java, Python, Ruby, Bash. - 3+ years of experience with some significant object-oriented language: Java, C++, C#, Python, PHP..."
Программист С++,https://hh.ru/vacancy/32799832?query=python," Megaputer Intelligence, Компания","Разработка алгоритмов и инструментов для анализа и извлечения знаний из текста с использованием современных подходов (Embedding, Neural Network, Graph Analysis).  Знание классических алгоритмов и структур данных. Высшее образование. Знание python. Знание основных методов Data Mining и Text Mining. "
Frontend-разработчик,https://hh.ru/vacancy/32167748?query=python, Marilyn System Russia,"Принять участие в разработке Frontend-части новой платформы, ориентированной на международный рынок. Создавать новые компоненты и интерфейсы, а старые переносить... Знаешь ES6, Redux, CSS3. Имеешь опыт работы с компонентными фреймворками. Понимаешь, как работает современный web. Умеешь работать с..."
Software Development Engineer in Test (SDET),https://hh.ru/vacancy/32687601?query=python, Group-IB,Написание автоматических тестов. Развитие CI/CD системы. Оптимизация процессов тестирования. Написание чек-листов и тест-кейсов. Документирование найденных ошибок и... Знание языков программирования Python/Golang/C. Знание Windows API. Опыт тестирования Windows приложений. Опыт написания автотестов. Опыт работы с Gitlab...
Программист / Разработчик С++,https://hh.ru/vacancy/32796350?query=python,АО АСТ,НЕОБХОДИМО: Опыт коллективной разработки приложений (SVN/Mercirial/GIT). Будет преимуществом: Знание языка Python. Знание языка SQL и опыт работы с СУБД.
Программист Go,https://hh.ru/vacancy/27091645?query=python,ООО Прикладные технологии,"Разработка back-end приложения на Go с применением современных framework-ов. Знание и опыт работы с Go, C++ или Python. Знание ООП, структур данных и алгоритмов, других фундаментальных понятий из сферы..."
Программист Go,https://hh.ru/vacancy/29419661?query=python,ООО Прикладные технологии,"Разработка back-end приложения на Go с применением современных framework-ов. Знание и опыт работы с Go, C++ или Python. Знание ООП, структур данных и алгоритмов, других фундаментальных понятий из сферы..."
Machine Learning Engineer,https://hh.ru/vacancy/32614314?query=python, HUAWEI,"Обучение нейронных сетей для распознавания образов. Оптимизиция архитектуры сетей для решаемых задач. Поиск лучших функций потерь для обучения сетей.  Высшее образование: предпочтительно - МФТИ, Сколтех, МГУ (ВМК, мехмат, физфак), ШАД, ВШЭ. Знание Python (от 2-х лет). Навык работы с..."
Frontend Developer,https://hh.ru/vacancy/32624814?query=python,ООО Сампад," Наличие реализованных проектов – указать портфолио. Желание работать и учиться новому. Уверенное знание CSS и HTML (Grid Layout, Flexbox). "
